#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2000,-40169.35947556325,7426.567730179651,-32742.791745383598,297.7369302643397,30.414730782427355,0.9835743582211162,0
4000,-39883.28577720988,7434.98881471278,-32448.2969624971,298.07453815394416,30.64327132113549,0.9762387636845005,672
6000,-39825.685013541515,7711.860767687243,-32113.824245854274,309.1745520971167,30.310858085661454,0.9869449827270107,673
8000,-39668.85662192118,7579.880656898953,-32088.975965022226,303.8833658493475,30.053272774900243,0.9954040458042366,676
10000,-39875.247093260434,7287.170396652098,-32588.076696608336,292.148381734328,30.48890829191567,0.981181386469197,676
12000,-39325.63894852353,7364.562577237195,-31961.076371286334,295.2510950079485,30.87817324415845,0.9688121467954192,677
14000,-39886.48591301669,7378.235301773674,-32508.250611243013,295.79924526789944,29.935256879614748,0.9993282980700118,674
16000,-39740.3353214286,7530.944908660713,-32209.39041276789,301.9214932872171,30.633583335672622,0.9765475028498546,675
18000,-39779.632487167284,7430.437666108288,-32349.194821058998,297.8920790336736,30.692803319393754,0.974663311086076,675
20000,-39948.219415515574,7636.211773046235,-32312.00764246934,306.1417245164205,30.533967271237614,0.9797334569744395,676
22000,-39824.53620074576,7394.019087722241,-32430.517113023518,296.43202963707427,30.54260912011914,0.9794562472427478,675
24000,-40090.2494839135,7432.032608116533,-32658.21687579697,297.9560215108363,30.483340251433354,0.981360607566206,671
26000,-40004.42156596691,7506.782470192455,-32497.63909577446,300.95280216116635,29.901121893466854,1.0004691267564187,671
28000,-39938.00540007191,7337.996343861948,-32600.00905620996,294.18603385706325,30.33843687991873,0.9860478121598647,671
30000,-39632.333628608205,7375.65352419476,-32256.680104413444,295.6957397780286,30.600657972657,0.977598237806667,672
32000,-39838.86803863887,7327.195788668779,-32511.672249970095,293.7530311207795,30.269178743055594,0.988303963042182,673
34000,-39768.564819964464,7435.758984292157,-32332.805835672305,298.1054148569755,30.32782292453433,0.9863929034481906,673
36000,-39968.42875288977,7829.533163645841,-32138.895589243926,313.8921308256036,30.202431114025693,0.9904881231862734,673
38000,-39578.7023167584,7401.093451550215,-32177.60886520818,296.7156464364141,30.112126699571515,0.993458536099335,673
40000,-39680.969922900345,7646.86957181854,-32034.100351081805,306.56900403572604,30.893294268481448,0.9683379522369239,673
42000,-39704.241766203835,7460.30629509254,-32243.935471111297,299.08953581695135,30.640695769402004,0.9763208229647148,673
44000,-39856.2585897558,7576.533066143305,-32279.7255236125,303.7491583080472,30.38817888270135,0.984433763710118,672
46000,-39734.54266520281,7745.499612913197,-31989.043052289613,310.52315980919775,30.78006059028977,0.9719002736216638,672
48000,-39562.06231256074,7603.710421068042,-31958.351891492697,304.8387198015905,30.527188373684684,0.9799510175520042,673
50000,-40057.014625797485,7243.538155230693,-32813.47647056679,290.39913092381295,30.521560062530902,0.98013172486942,673
52000,-39784.78051101108,7186.949777717038,-32597.83073329404,288.1304584466082,30.55444518923115,0.9790768290676588,673
54000,-39997.391571903514,7468.332349871561,-32529.059222031952,299.41130665360964,30.656825752865032,0.9758071351205791,673
56000,-39950.83581470407,7141.584842011529,-32809.25097269254,286.3117425620538,30.416117618029507,0.9835295117369439,673
58000,-39617.411806280754,7578.5641389916955,-32038.847667289057,303.83058561296025,30.678272870405944,0.97512495035703,673
60000,-39515.46720035246,7529.646848781317,-31985.820351571143,301.8694530476567,31.131202694975997,0.9609377961687864,673
62000,-39614.76855584851,7733.797235430533,-31880.97132041798,310.0540023093847,30.347814099695476,0.9857431316641089,674
64000,-39623.0990600292,7430.2750690877965,-32192.823990941404,297.88556039148114,30.778394536036654,0.9719528832073449,672
66000,-39866.69077471341,7687.196833227521,-32179.49394148589,308.1857556030866,30.18808726582721,0.9909587529136978,673
68000,-39729.07367596822,7495.1303864693855,-32233.943289498835,300.48566097765683,30.417650122529214,0.983479959473825,673
