#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,40564.27571390999,45880.215131881596,86444.49084579159,282.98059096299056,201.44070311238045,0.5947490734927344,0
10000,40468.00414398678,45763.20350709357,86231.20765108035,282.25888513321456,201.42935478573534,0.5947825810555475,341
15000,40632.47073034692,45975.47799275177,86607.94872309869,283.56815448221937,200.555941751563,0.5973728351973874,342
20000,39632.601546684,46176.28212435878,85808.88367104279,284.80667683148533,199.8318124040041,0.599537531579795,342
25000,39803.97155718243,46468.44133544621,86272.41289262864,286.608660234814,198.37147876448697,0.6039510936048,342
30000,40579.75011598724,46310.299727767924,86890.04984375517,285.6332723586238,201.44585522595557,0.5947338623841619,342
35000,40042.35801684029,46052.731387994936,86095.08940483522,284.04463898380624,200.65974899083264,0.5970637965130056,342
40000,40106.44724293606,45956.10801537452,86062.55525831057,283.44868408240984,200.71798281579072,0.5968905718316532,342
45000,40524.08327194995,46081.10798683515,86605.19125878511,284.2196605412737,199.15555370673894,0.6015733395827431,342
50000,40400.249371368256,46320.21902821303,86720.4683995813,285.69445274964477,200.1348983485737,0.5986295869856079,342
55000,39956.67805065625,46169.40916702125,86126.0872176775,284.7642857153267,199.2160322635813,0.6013907122760979,342
60000,40188.98843111121,46349.53367957246,86538.52211068367,285.8752600397091,201.00090473038367,0.5960504093278496,339
65000,40046.162444240515,46529.95119304623,86576.11363728675,286.9880415390139,201.7766734166396,0.5937587804930744,340
70000,39987.632004581654,46363.507741001886,86351.13974558354,285.9614494385619,199.1842700506449,0.6014866109123528,340
75000,39743.62282452858,45938.388675720955,85682.01150024953,283.3393945075414,196.8779681221781,0.6085326493488795,340
80000,39083.36860460977,46305.51012048813,85388.8787250979,285.6037309561996,197.4041822331132,0.6069105030324758,340
85000,39892.05974865862,45946.04773417967,85838.1074828383,283.38663414847673,198.0123723282395,0.6050463924608364,340
90000,39760.49207672745,46743.41645544475,86503.90853217221,288.304655376372,200.53391023742245,0.5974384651352381,341
95000,39480.03476819407,46364.511960757896,85844.54672895197,285.9676432783073,197.34811430735445,0.607082930385763,341
100000,39962.70907737818,46292.13821735063,86254.84729472881,285.5212555571355,200.74684873948692,0.5968047433476215,341
