#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,83335.33702885715,38910.77952161852,122246.11655047566,288.3481878997743,151.3922587157991,0.9025982021124767,0
10000,79312.34783286572,39310.213727551665,118622.56156041738,291.30819360724195,138.35605104821911,0.9876429653445654,351
15000,77642.41926663619,39896.009025472216,117538.42829210841,295.6492274984225,132.2434228882367,1.0332943411946587,350
20000,76687.3762356161,39196.52283325919,115883.8990688753,290.46568765508727,130.09753171724475,1.0503379943257938,349
25000,75267.95314333524,38918.815241632896,114186.76838496813,288.407736573255,128.10520633941232,1.0666731230937265,348
30000,75393.57116365142,39747.20354161937,115140.77470527079,294.54650501005193,127.29849702045797,1.0734327877309262,349
35000,75090.03377164114,39598.420855005854,114688.454626647,293.4439514605392,126.17258888387474,1.0830116251033908,349
40000,75007.13402905263,39566.07610612026,114573.21013517288,293.2042608184113,125.37796992405052,1.089875522896109,348
45000,74517.58991492976,39011.4611776364,113529.05109256617,289.0942889397541,125.18814651808995,1.0915281065438691,348
50000,73773.10664942686,39940.85204831863,113713.95869774549,295.9815365535656,124.86693297546859,1.0943360045327037,348
55000,73926.82752553595,38914.93177844391,112841.75930397987,288.37895818363944,125.133603679875,1.0920038783523323,348
60000,73389.1212107417,39072.04415316807,112461.16536390976,289.5432388561244,124.34456311726052,1.098933295553628,346
65000,73168.25513764797,39082.26737843855,112250.52251608652,289.6189980292244,124.70315597883966,1.0957732341097617,347
70000,72770.74422470841,39024.39784139111,111795.14206609952,289.1901560387174,124.47196582436769,1.097808487442368,347
75000,73757.39676980383,39314.485291753634,113071.88206155747,291.3398480179805,124.55297859520661,1.0970944418336537,347
80000,72739.10036979336,39457.039105873555,112196.13947566692,292.3962425308903,124.7332838155564,1.0955085631569415,347
85000,72818.97172848543,39313.10438074237,112132.0761092278,291.32961478203293,124.99835280889477,1.093185449727811,347
90000,72979.81516186829,39216.22995235528,112196.04511422357,290.6117271883464,124.28011946320231,1.099503131481028,347
95000,72646.97243340395,38767.74089557667,111414.71332898062,287.2882006899081,124.45808273943845,1.0979309460897433,347
100000,72758.48125781375,39693.357878921655,112451.8391367354,294.1474819255485,124.21282030098594,1.1000988480859937,347
