,Constrained,Res0,Res100,Res1000,Res100000
-165,0.30374077766851193,0.35935586842156075,0.414605418423419,0.3370115432689222,0.07680608979473035
-150,0.2958290934413457,0.3325177948210483,0.33353487749259053,0.3594316785579454,0.16721011528304763
-135,0.3291754942634916,0.29816893729347926,0.28692433364222303,0.3526480281266912,0.09341729869722472
-120,0.2617409052248006,0.3248963809868428,0.29166947270817667,0.2944220315442983,0.27726029231940214
-105,0.25251236401417565,0.278240940616321,0.272083874073298,0.2966485444966368,0.2010879960041233
-90,0.07912116186423983,0.26327362554767547,0.26616916680129393,0.26714137579079544,0.2550708434105489
-75,0.16125275712198872,0.17870355928588919,0.3034918033203785,0.2813257749152522,0.07690145018874163
-60,0.15131420752658617,0.3137521184923456,0.29178610858340986,0.3004401802002546,0.09754013640235108
-45,0.31375201093226035,0.3286612872852514,0.2862905916178211,0.3383588857243211,0.12981871251109092
-30,0.14890002839484706,0.34596515598632765,0.33014336256771937,0.36087629405727306,0.16121671712882243
-15,0.3730951693342202,0.3960799649446095,0.4088034324323028,0.4373882530389587,0.2512527263614965
0,0.4875554485489125,0.08926849562440492,0.08857830639624474,0.08921347275981109,0.61942580217141
15,0.3747416209622588,0.39389340697088593,0.4327578247648809,0.4339046083544723,0.22314621453159875
30,0.15046200381038247,0.3449170673174603,0.3109444426794125,0.3566709732645396,0.1435436094228296
45,0.17197690664440302,0.32696162534712253,0.2951721879615287,0.33360409223327,0.12281634479424183
60,0.15032130183182274,0.31911706267792267,0.29437073500754135,0.3001856187415211,0.08254971389058861
75,0.15984208306608333,0.18423030615314673,0.29787961368682364,0.30117980630766444,0.14418387340267438
90,0.07883723821179264,0.27528362060336337,0.2642969528162828,0.2683419144216584,0.26877279437943613
105,0.2567943632494292,0.27299433601447615,0.27621517127227807,0.2859538531713985,0.25661586877229964
120,0.2595987430678508,0.3135976835827519,0.3058452250097959,0.30384909957234757,0.24754213489632312
135,0.2887673768974347,0.2995099587668683,0.2759302249461466,0.35647074244085997,0.17803122163485996
150,0.31459691207026674,0.3227108168703754,0.34077558876990083,0.3639301084130313,0.16985491085487725
165,0.2967217055574872,0.3627826440303779,0.40763921957572546,0.3293417119094049,0.07870828550755432
180,0.0846535894819637,0.07648033910026439,0.07650972751972092,0.07647254054472342,0.07616979999022738
