,Constrained,Res0,Res100,Res1000,Res100000
-165,2.534043147761622e-06,71.64736082205478,26.781370734060005,1.805331752732883,0.021172991016129572
-150,5.1341145308470004e-06,58.92467399082014,20.710033980078776,2.8087333307395284,0.031307626856090565
-135,1.0321518118416861e-05,42.553576621979374,16.234143563576268,2.137519266360698,0.024491497488440928
-120,9.809795542992106e-06,24.451822274247448,9.386442663908923,1.4969903822796766,0.013964657622949517
-105,1.3989749206189117e-05,8.734881428860689,3.189941188296956,0.5559410024973772,0.014056442561553695
-90,0.0,4.9254355042184415,2.175454793915719,0.3344454917704667,0.0039272647612733635
-75,2.5988159094936236e-05,17.295184330525274,6.109470958315157,0.8056016944818225,0.012931035391332557
-60,4.471672561123796e-06,31.43106939544588,10.625198209966292,1.4026062951846185,0.013989182304072756
-45,5.591768257318108e-06,47.134568319291695,14.708706584197294,1.3831216286946955,0.02142321916903711
-30,0.0,60.153289038924555,13.215819287728646,1.1122156527094127,0.011495660919091932
-15,1.2366928849871783e-06,74.58928203213995,9.089204557083633,0.8279432381837903,0.00967644603088047
0,1.96122538949284e-06,0.13661274802260417,0.002073378666803906,0.012280128108464324,0.005950692825493336
15,5.011016192213447e-06,74.94856383419253,8.96703494823518,0.8058009233137913,0.014072784400898541
30,4.073290117645456e-06,59.85516011732552,13.810531399446297,1.0214983165096392,0.011854909282529746
45,5.151755708254768e-06,47.32231355672129,14.252991260366791,1.348446250250113,0.013612807419882245
60,6.958087226394127e-07,31.585502597150004,10.4058737788476,1.5035436750167221,0.014025562368452427
75,3.1983666417545464e-06,17.362828051651448,5.645629477206981,0.7575304548626747,0.010148519047788795
90,7.671436748069027e-07,5.185083669669481,2.195342911002058,0.36421031322922204,0.002993329547720691
105,2.5889246586530135e-06,8.233323587879724,3.1923966823524665,0.540352113182422,0.0062403373878794355
120,3.524936943222201e-06,23.839750307910634,9.432544530042051,1.5204681204706105,0.01812713470381766
135,0.0,42.72937883128364,15.907106094098694,2.195223560146303,0.023859884938048026
150,1.139788224691074e-06,57.64020790668424,20.014485671637686,2.7934855463414294,0.031206913012965742
165,1.2674888978381205e-06,72.30606899904434,26.34007824832318,1.8113445433179436,0.01409595322684254
180,5.8898379791116895e-06,0.0031957092800212195,0.001707204046510924,0.00015287140516306863,5.1051977834504214e-05
