#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2000,39101.36388261274,46365.1200803263,85466.48396293903,285.97139404613495,198.19443273620683,0.6044905998912379,0
4000,39543.051796856955,46116.45981059965,85659.5116074566,284.4377039822589,198.73987871544745,0.602831562111148,339
6000,39915.49484036353,46207.84348509374,86123.33832545727,285.00134140502104,200.7248831791325,0.5968700523935263,337
8000,40231.95926466308,46595.74278775776,86827.70205242083,287.39383179737143,199.29892193256586,0.6011405901149363,338
10000,40001.660356275446,45797.09027085992,85798.75062713536,282.4678923579815,199.1242984623356,0.6016677646323245,338
12000,40259.98301878612,46258.29153636942,86518.27455515554,285.312495555495,199.62611426853022,0.600155305225515,338
14000,39765.47640694566,47297.376795265,87062.85320221065,291.7213792056259,198.56937555902422,0.6033491881742915,338
16000,39933.988961846946,46842.4381846322,86776.42714647914,288.9154028927708,200.84066961875988,0.5965259514780192,338
18000,39972.27287204941,45987.85636295569,85960.1292350051,283.64450195586124,202.49938080997396,0.5916396932207918,338
20000,39747.037480404266,46161.81896140769,85908.85644181195,284.71747074587023,198.58458439187746,0.6033029799704515,339
22000,39700.43903428504,46509.44505931257,86209.88409359762,286.86156353916937,201.10971964488303,0.5957279029147191,339
24000,40236.47900773863,46458.76729115996,86695.2462988986,286.54899253793735,201.80356481190194,0.5936796589866153,332
26000,40084.75752645052,46083.48370195462,86168.24122840514,284.23431350805976,200.08580368164496,0.5987764715703507,333
28000,39623.33669533992,46483.67534465437,86107.0120399943,286.7026207560555,196.99648149317247,0.6081665552182238,333
30000,40024.10936768446,45895.026568429894,85919.13593611435,283.0719451350536,201.02787420596178,0.5959704444621752,334
32000,39567.42852451421,46269.49369878484,85836.92222329904,285.38158839935517,198.7905372398157,0.6026779403251054,334
34000,39775.833982091244,46043.552871684464,85819.38685377571,283.9880276108596,198.67029454592853,0.6030427035588676,334
36000,39641.6313121033,46433.15197069615,86074.78328279944,286.391002029355,199.35154248830733,0.6009819138813052,334
38000,39260.508410385584,46055.938962690896,85316.44737307649,284.0644227049682,198.93385744000093,0.6022437461453605,335
40000,39870.82787277081,46034.066266346854,85904.89413911766,283.92951600238194,197.73646997235144,0.6058906157097134,335
42000,39675.05217312039,46327.22007560425,86002.27224872465,285.7376339013118,200.93700528442986,0.5962399577430987,335
44000,40325.01645197764,46053.89467812981,86378.91113010744,284.05181393991484,201.048728084996,0.5959086271322415,332
46000,40124.93800511326,46234.82123933344,86359.7592444467,285.1677351504658,199.21919824396662,0.6013811550084461,332
48000,39722.37039775829,46352.399994249434,86074.77039200772,285.8929389328626,198.83202988104335,0.6025521723612178,333
50000,40054.86607413768,46248.75816293531,86303.62423707299,285.25369549014,199.95393928737548,0.599171348995661,333
52000,40163.585136665046,45811.609264231956,85975.194400897,282.5574427951971,202.62767140481012,0.5912651056452363,333
54000,40275.05418597441,46139.06603896381,86414.12022493822,284.5771349732328,199.60358070202363,0.6002230577149092,333
56000,39670.2107489988,45763.01278495998,85433.22353395878,282.25770879474453,201.91260537109628,0.5933590491768452,334
58000,39722.75006253672,46037.603009056,85760.35307159272,283.95132997032084,200.3504606229889,0.5979855058345008,334
60000,39924.65576352689,46527.15211958334,86451.80788311023,286.9707773771001,200.1961546139611,0.5984464175689931,334
62000,39896.37196765918,46725.0408549905,86621.41282264967,288.19131810755374,195.82085100301487,0.6118177452817255,334
64000,39339.776522743305,46770.26855165785,86110.04507440116,288.4702740865968,198.1685923484248,0.604569423035343,332
66000,40341.83517159732,45625.10628180938,85966.9414534067,281.4071272609173,200.32243276343624,0.5980691722194426,332
68000,39475.08824680753,46804.385482782745,86279.47372959027,288.6807009406082,198.32625811771874,0.6040888013361332,333
70000,39518.974171098605,46709.764359503766,86228.73853060236,288.09709553888763,200.65685382720707,0.5970724112069611,333
72000,40164.2326696238,46219.54927361885,86383.78194324265,285.0735405205876,200.817196593901,0.5965956779194073,333
74000,39458.156484231906,46652.35668001776,86110.51316424966,287.7430157025122,198.6062826314773,0.6032370675912596,333
76000,39714.785050663464,46622.76024335753,86337.545294021,287.56047041338405,199.35597048912925,0.6009685651543917,333
78000,39107.89566146729,46404.774439185814,85512.67010065311,286.2159747193526,199.4639658572428,0.6006431839701784,333
80000,39396.44325923371,45922.81363579593,85319.25689502964,283.24333057258406,198.95534073671712,0.6021787155659049,334
82000,39260.243315248226,46486.25585281208,85746.49916806031,286.71853684802136,197.38805589816099,0.6069600867928172,334
84000,39487.15542137071,46008.77089106889,85495.92631243961,283.7734988559014,199.62765687512163,0.6001506675738778,332
86000,39490.106409847256,46403.16317841191,85893.26958825917,286.2060367640774,197.48661576254702,0.6066571705490453,332
88000,39050.147280337886,45834.29620681115,84884.44348714904,282.6973716163622,196.35451328059065,0.6101549159127782,332
90000,39403.08768301666,46042.406527638814,85445.49421065548,283.9809571750617,197.28326016517266,0.60728250049957,333
92000,39620.51839753581,46443.285905212804,86063.80430274861,286.4535062432097,199.05565419476363,0.6018752495349359,333
94000,39374.52921543526,46524.76115580181,85899.29037123706,286.9560303594167,198.2373843031217,0.604359626520388,333
96000,39267.302851327964,46005.8726187125,85273.17547004047,283.75562285375486,198.82441948001738,0.602575236246845,333
98000,39487.99528354922,45818.76195616752,85306.75723971674,282.6015592620681,199.40758094553013,0.6008130231143994,333
100000,39948.07845229886,46670.6230415797,86618.70149387856,287.8556792062618,199.90861570415527,0.5993071940286713,333
102000,39466.85550145237,46210.11738516549,85676.97288661786,285.0153663956242,199.12586952850663,0.601663017585276,333
104000,39501.624123912654,46140.08510933201,85641.70923324466,284.5834204087783,200.85703407403668,0.5964773506296627,332
106000,39578.54711020786,45672.55932286867,85251.10643307652,281.6998087482066,199.6647018973805,0.6000393179230498,332
108000,39257.45963698538,46486.13083460533,85743.59047159071,286.71776575909064,196.50112054299677,0.6096996862346041,332
110000,38625.960757988534,46138.26831657799,84764.22907456652,284.57221477066804,198.51970518481008,0.6035001484022977,332
112000,39115.8963265006,46047.924201925416,85163.82052842602,284.0149891586929,195.87304958896308,0.6116547007933247,332
114000,38485.54655417918,46006.90327132941,84492.44982550858,283.7619797264454,196.39611931393057,0.6100256560991797,332
116000,39511.589957401215,46059.903989060476,85571.49394646169,284.0888782464695,197.80734711655322,0.6056735166122018,333
118000,39235.377972918985,45789.74878748633,85025.12676040531,282.4226114608098,197.2685118677998,0.6073279024890812,333
120000,39133.890424753525,45974.11471213757,85108.0051368911,283.5597460222167,196.7030717706184,0.6090737193953104,333
122000,39807.55204005386,46225.56607615447,86033.11811620832,285.11065103396123,200.97584362198936,0.5961247350957996,333
124000,39591.56377180221,46680.99857947664,86272.56235127884,287.9196735846054,200.30697414211426,0.5981153280005745,332
126000,39883.62622883342,45800.478758484,85684.10498731742,282.48879191626776,201.41113513481758,0.5948363850867474,332
128000,39236.32480065875,46626.71538946724,85863.04019012599,287.5848650152893,196.27998752444742,0.6103865862783941,332
130000,39074.583469038786,45727.402184091436,84801.98565313022,282.0380692649524,198.28998830847115,0.604199297008557,332
132000,39740.854257466475,46134.53795274799,85875.39221021446,284.5492065838475,198.80257299576135,0.6026414534502411,332
134000,39212.31341512663,45998.504529837366,85210.81794496399,283.7101778588227,198.34482695873035,0.6040322471568238,332
136000,40021.11837762913,46091.35990676997,86112.4782843991,284.28289246713365,201.57220021814754,0.5943610845650088,332
138000,39164.745708021655,46244.85226926407,85409.59797728572,285.22960466806893,198.40296215541755,0.6038552561829372,333
