#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2000,72841.88208181609,39204.92181346842,112046.80389528451,290.5279282669001,124.32684284464594,1.099089926230776,0
4000,72906.15741815709,39295.119020280195,112201.27643843729,291.19633433477,124.25623583181174,1.0997144699891463,344
6000,72535.19786996959,38933.305833174,111468.5037031436,288.51511904833893,124.60196154963882,1.0966631570738967,346
8000,72051.95779201237,39096.812512938624,111148.770304951,289.7267846947041,123.99542440506677,1.1020276045367,346
10000,72248.687720899,38932.243732150186,111180.93145304918,288.50724835262554,123.74172257258124,1.1042870398905,346
12000,71810.97829032777,39399.08037201592,111210.05866234368,291.96673954775093,123.71824698536757,1.1044965788012553,346
14000,72542.89874072379,39172.78843125267,111715.68717197646,290.2898039566983,123.93527780900058,1.1025624256978386,346
16000,72184.8655672961,39225.184421360405,111410.04998865651,290.678084247829,123.90341149730654,1.1028459901089784,346
18000,72594.00435482891,39154.791432761405,111748.79578759032,290.1564372658637,123.6306369006362,1.1052792734575325,346
20000,72546.80316851329,38998.552032339176,111545.35520085247,288.99862576621825,124.24631210214277,1.0998023057480397,346
22000,71754.7846673259,39371.499521570775,111126.28418889668,291.76235175741704,123.69698614171249,1.1046864179381002,346
24000,72622.1603715893,38681.04437715074,111303.20474874004,286.6457364603892,123.43650610096292,1.1070175659286683,342
26000,72795.39945684746,38854.68148206166,111650.08093890912,287.93247358487696,123.76346042376342,1.1040930825847384,343
28000,72331.94917092752,39346.22749805677,111678.17666898429,291.57507352052704,123.12491453788297,1.1098190893654096,343
30000,71691.64164808986,39023.72763930076,110715.36928739063,289.1851895086028,123.91767686161201,1.1027190308226185,343
32000,73094.75847364264,39042.90914615095,112137.66761979359,289.3273339942553,124.23234616947987,1.099925943153419,343
34000,72841.54029839544,39394.28576633038,112235.82606472581,291.93120914003055,123.97782042114756,1.1021840847535878,343
36000,72740.99570194026,39290.942752518225,112031.93845445849,291.16538611794795,124.02337465501371,1.101779248554766,343
38000,72338.20314887661,39764.66523101264,112102.86837988925,294.6759047947933,123.86590092421399,1.103179967295703,343
40000,71931.16069563542,39218.469626757826,111149.63032239325,290.62832428723254,124.10771448604442,1.1010305128614122,343
42000,72624.26548851002,39360.437652563276,111984.70314107329,291.68037781800206,123.7379580550656,1.1043206359508302,344
44000,72155.50938470586,39207.47048946462,111362.97987417047,290.54681522095456,123.60084015158044,1.1055457257656833,342
46000,71546.01979400672,39673.225146539655,111219.24494054637,293.9982883866066,123.49487426562504,1.1064943492044421,342
48000,71841.91649405682,39608.398736777155,111450.31523083398,293.5178925165449,123.48418476108152,1.1065901337488038,342
50000,71936.95626557968,39537.47678616489,111474.43305174456,292.99232566353436,123.48307779745384,1.106600053772265,342
52000,72651.4981150229,39239.844304217215,111891.34241924011,290.7867212555825,123.84008345370133,1.1034099519297693,342
54000,71942.92580218543,39505.85125561376,111448.77705779919,292.75796478621703,123.75438937028287,1.1041740113295737,342
56000,72377.80448974826,39538.64455410237,111916.44904385063,293.00097940352106,123.51770385631829,1.1062898375246744,342
58000,72242.54438658198,39458.2787076415,111700.82309422348,292.4054285952123,123.20320374141605,1.109113857277821,342
60000,72218.14403128857,39039.4195385099,111257.56356979847,289.3014742697227,123.85728548391386,1.1032567038486754,342
62000,72605.81434952712,39295.4419467806,111901.25629630772,291.19872738040823,123.923171856806,1.102670134109567,343
64000,72676.07517528435,39881.51749471198,112557.59266999633,295.54183806325875,123.67230817847665,1.1049068505572577,341
66000,71607.03373623622,39221.90544917579,110828.93918541202,290.6537854365682,123.19675245984457,1.1091719367778503,341
68000,71526.30188848503,39218.91850424319,110745.22039272822,290.6316506921797,123.50692116170089,1.1063864214680208,342
70000,71609.48575985816,39118.50936188054,110727.9951217387,289.88756911363515,123.27940829640688,1.1084282640461853,342
72000,72047.26323639922,39326.47141468518,111373.73465108439,291.4286711376853,123.66690591976203,1.104955117250904,342
74000,71506.14154978929,39123.71559199979,110629.85714178908,289.92614986270087,123.59946280606457,1.1055580455477714,342
