#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,213043.07578581118,73653.33929378304,286696.41507959424,295.282019120808,283.9761802831162,0.8723759446622141,0
10000,205981.90720321483,71961.62807074028,277943.5352739551,288.4998160258892,258.05556694906176,0.9600024966132645,252
15000,203756.7032762036,71973.81345003721,275730.5167262408,288.54866816806026,248.83338404338505,0.9955818006029984,249
20000,201512.9931747981,73342.9813295675,274855.9745043656,294.0377696787257,242.80897584507017,1.0202834869421098,249
25000,199921.8003694059,72986.08649269275,272907.88686209865,292.6069502609418,239.31781827966063,1.035167336543889,249
30000,200184.4605165323,71671.59187986479,271856.0523963971,287.33703816841535,239.05941854658653,1.036286250682793,248
35000,199247.95456745522,71851.9553687339,271099.9099361891,288.0601295540824,236.15206684394025,1.04904433760372,248
40000,198183.82544488797,72116.8710645558,270300.6965094438,289.12219737489175,234.98451005405346,1.054256676233955,248
45000,198147.01565358695,72886.31910447028,271033.33475805726,292.2069749696759,233.69001739306665,1.060096581358724,248
50000,197486.18088333867,71936.51910891547,269422.69999225414,288.3991522268443,232.8400389387896,1.0639664452262718,248
55000,197298.20887947618,72712.26286277692,270010.4717422531,291.5091698330643,232.83070740897642,1.0640090875165191,247
60000,197567.1301636001,72715.41510435399,270282.54526795406,291.52180741700226,231.48900735088665,1.070176037173723,245
65000,197174.0582091594,72276.92215207107,269450.9803612305,289.7638547489788,231.72125145647078,1.0691034463992093,245
70000,196808.4577585602,72208.53109466004,269016.98885322025,289.48966963102254,230.47837912455373,1.074868668710013,245
75000,196469.18107972306,73405.79877764886,269874.9798573719,294.28960975934297,230.3157851482082,1.0756274841371984,245
80000,195412.16316970706,72015.32504090134,267427.48821060837,288.71509139455355,229.79764559205896,1.0780527707226064,245
85000,195695.41750696104,72537.89682467416,268233.3143316352,290.8101226983281,229.5337102816591,1.0792923977574282,245
90000,196049.45877545094,72191.9609133001,268241.41968875105,289.42323847316777,228.7641169326847,1.082923282976884,245
95000,196255.55014817626,71623.80848868797,267879.3586368642,287.14547080212316,227.3548713878665,1.089635718046338,245
100000,195489.00428243435,72325.87855245647,267814.88283489086,289.96012480127104,227.72154298818822,1.087881213543773,245
